"mass_GeV","width_coefficient_001","width_coefficient_002","width_coefficient_003","width_coefficient_004","width_coefficient_005","width_coefficient_006","width_coefficient_007","width_coefficient_008","width_coefficient_009","width_coefficient_010","width_coefficient_011","width_coefficient_012","width_coefficient_013","width_coefficient_014","width_coefficient_015","width_coefficient_016","width_coefficient_017","width_coefficient_018","width_coefficient_019","width_coefficient_020","width_coefficient_021","width_coefficient_022","width_coefficient_023","width_coefficient_024","width_coefficient_025","width_coefficient_026","width_coefficient_027","width_coefficient_028","width_coefficient_029","width_coefficient_030","width_coefficient_031","width_coefficient_032","width_coefficient_033","width_coefficient_034","width_coefficient_035","width_coefficient_036","width_coefficient_037","width_coefficient_038","width_coefficient_039","width_coefficient_040"
0.01,1.1039144991564808e-10,3.418483300178187e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1042563474864986e-10,0,1.1042563474864986e-10
0.011,1.2153698633688996e-10,4.4839886991717405e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2158182622388167e-10,0,1.2158182622388167e-10
0.012,1.326740110145613e-10,5.750209104216915e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3273151310560346e-10,0,1.3273151310560346e-10
0.013000000000000001,1.438045015533058e-10,7.234458882356906e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4387684614212938e-10,0,1.4387684614212938e-10
0.014,1.549298662387654e-10,8.954016979039336e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5501940640855578e-10,0,1.5501940640855578e-10
0.015,1.660511353649621e-10,1.0926115429094009e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6616039651925303e-10,0,1.6616039651925303e-10
0.016,1.7716908019371893e-10,1.316792923890398e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7730075948610797e-10,0,1.7730075948610797e-10
0.017,1.8828428961240532e-10,1.569656728096249e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8844125528521496e-10,0,1.8844125528521496e-10
0.018000000000000002,1.9939722107008411e-10,1.8529063954270013e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.995825117096268e-10,0,1.995825117096268e-10
0.019000000000000003,2.1050823533429789e-10,2.1682371437530708e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.107250590486732e-10,0,2.107250590486732e-10
0.02,2.216176207662931e-10,2.517335241160408e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2186935429040914e-10,0,2.2186935429040914e-10
0.020999999999999998,2.3272561062790026e-10,2.901877316182316e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.330157983595185e-10,0,2.330157983595185e-10
0.022,2.438323956483425e-10,3.323529699487837e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.441647486182913e-10,0,2.441647486182913e-10
0.023,2.5493813330013e-10,3.7839477922302067e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55316528079353e-10,0,2.55316528079353e-10
0.024,2.660429547478454e-10,4.2847754575302063e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.664714322935984e-10,0,2.664714322935984e-10
0.025,2.771469701238634e-10,4.827644432519115e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776297345671153e-10,0,2.776297345671153e-10
0.026000000000000002,2.8825027258300255e-10,5.414173759089676e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8879168995891153e-10,0,2.8879168995891153e-10
0.027000000000000003,2.9935294145369137e-10,6.045969232064364e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999575383768978e-10,0,2.999575383768978e-10
0.028000000000000004,3.1045504471218254e-10,6.724622863935716e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.111275069985761e-10,0,3.111275069985761e-10
0.028999999999999998,3.2155664094366574e-10,7.451712365692953e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2230181218023506e-10,0,3.2230181218023506e-10
0.03,3.3265778091030456e-10,8.228800643548646e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3348066097465943e-10,0,3.3348066097465943e-10
