"mass_GeV","width_coefficient_001","width_coefficient_002","width_coefficient_003","width_coefficient_004","width_coefficient_005","width_coefficient_006","width_coefficient_007","width_coefficient_008","width_coefficient_009","width_coefficient_010","width_coefficient_011","width_coefficient_012","width_coefficient_013","width_coefficient_014","width_coefficient_015","width_coefficient_016","width_coefficient_017","width_coefficient_018","width_coefficient_019","width_coefficient_020","width_coefficient_021","width_coefficient_022","width_coefficient_023","width_coefficient_024","width_coefficient_025","width_coefficient_026","width_coefficient_027","width_coefficient_028","width_coefficient_029","width_coefficient_030","width_coefficient_031","width_coefficient_032","width_coefficient_033","width_coefficient_034","width_coefficient_035","width_coefficient_036","width_coefficient_037","width_coefficient_038","width_coefficient_039","width_coefficient_040"
0.01,4.415657996625923e-10,1.367393320071275e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.417025389945994e-10,0,4.417025389945994e-10
0.011,4.861479453475599e-10,1.7935954796686962e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863273048955267e-10,0,4.863273048955267e-10
0.012,5.306960440582452e-10,2.300083641686766e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.309260524224139e-10,0,5.309260524224139e-10
0.013000000000000001,5.752180062132232e-10,2.8937835529427624e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.755073845685175e-10,0,5.755073845685175e-10
0.014,6.197194649550616e-10,3.5816067916157343e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.200776256342231e-10,0,6.200776256342231e-10
0.015,6.642045414598484e-10,4.3704461716376037e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.646415860770121e-10,0,6.646415860770121e-10
0.016,7.086763207748757e-10,5.267171695561592e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.092030379444319e-10,0,7.092030379444319e-10
0.017,7.531371584496213e-10,6.278626912384996e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.537650211408598e-10,0,7.537650211408598e-10
0.018000000000000002,7.975888842803365e-10,7.411625581708005e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.983300468385072e-10,0,7.983300468385072e-10
0.019000000000000003,8.420329413371915e-10,8.672948575012283e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.429002361946928e-10,0,8.429002361946928e-10
0.02,8.864704830651724e-10,1.0069340964641631e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.874774171616365e-10,0,8.874774171616365e-10
0.020999999999999998,9.30902442511601e-10,1.1607509264729264e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32063193438074e-10,0,9.32063193438074e-10
0.022,9.7532958259337e-10,1.3294118797951349e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.766589944731651e-10,0,9.766589944731651e-10
0.023,1.01975253320052e-9,1.5135791168920827e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021266112317412e-9,0,1.021266112317412e-9
0.024,1.0641718189913816e-9,1.7139101830120825e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0658857291743936e-9,0,1.0658857291743936e-9
