flavor,mass_GeV,channel,status,central_rows,variation_rows,mass_label,rows,central_hits,variation_hits,common_hits,xor_hits,false_hits,missed_hits,xor_per_row,xor_per_variation_hit,missed_per_variation_hit,entry_absdiff_m_median,entry_absdiff_m_p90,entry_absdiff_m_max,exit_absdiff_m_median,exit_absdiff_m_p90,exit_absdiff_m_max,path_absdiff_m_median,path_absdiff_m_p90,path_absdiff_m_max
Ue,0.305,ALL,length_mismatch,862956.0,862957.0,,,,,,,,,,,,,,,,,,,,
Ue,0.5,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,0.7,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,0.9,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,1.0,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,1.2,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,1.4,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,1.6,ALL,length_mismatch,762956.0,762957.0,,,,,,,,,,,,,,,,,,,,
Ue,1.8,ALL,ok,,,1p800,499999.0,3925.0,3894.0,1635.0,4549.0,2290.0,2259.0,0.009098018196036391,1.1682074987159734,0.5801232665639445,0.0,0.0,3.2320333122337885,0.0,0.0,3.023288224430928,0.0,0.0,2.9485209015868854
Ue,1.8,Bmeson,ok,,,1p800,99999.0,745.0,743.0,17.0,1454.0,728.0,726.0,0.014540145401454015,1.9569313593539703,0.9771197846567967,0.9887584264773217,1.7542603883856358,2.0973850909082437,1.3260612924195776,2.3210168115866843,2.8981473533995015,0.5899349893812769,1.4726604571702155,1.6765018171316584
Ue,1.8,Dmeson,ok,,,1p800,100000.0,780.0,709.0,4.0,1481.0,776.0,705.0,0.01481,2.0888575458392102,0.9943582510578279,1.0871740966574457,1.9923479040351535,2.3304003232788624,1.4296440598707818,1.6321062212993909,1.6444587293074946,0.3424699632133361,0.6699074463095844,0.6859415939713678
Ue,1.8,Bc,ok,,,1p800,100000.0,808.0,808.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ue,1.8,Bbaryon,ok,,,1p800,100000.0,810.0,852.0,24.0,1614.0,786.0,828.0,0.01614,1.8943661971830985,0.971830985915493,1.1928688903738607,2.7603224034971854,3.2320333122337885,1.1597647356209464,2.104130494395472,3.023288224430928,1.2627054108972988,2.494822871112781,2.9485209015868854
Ue,1.8,WZ,ok,,,1p800,100000.0,782.0,782.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ue,2.0,ALL,ok,,,2p000,399999.0,3086.0,3117.0,1660.0,2883.0,1426.0,1457.0,0.007207518018795047,0.9249278152069298,0.46743663779274947,0.0,0.0,3.5871821168566314,0.0,0.0,3.8608767148670253,0.0,0.0,3.3095359136262914
Ue,2.0,Bmeson,ok,,,2p000,99999.0,739.0,767.0,20.0,1466.0,719.0,747.0,0.014660146601466015,1.9113428943937418,0.9739243807040417,0.8164872362498823,1.8907253549475986,3.258626491982561,1.451176253967775,3.0916071347522145,3.8090957918651824,1.1963815954334205,2.6798809817497022,3.3095359136262914
Ue,2.0,Bc,ok,,,2p000,100000.0,826.0,826.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
