event,	id,	pt,	eta,	phi,	momentum,	mass
21,	-9900015,	40.9143,	-3.41431,	1.2001,	622.491,	15
22,	9900015,	19.5409,	2.14176,	-0.129162,	84.3372,	15
22,	9900015,	19.5409,	2.14176,	-0.129162,	84.3372,	15
23,	-9900015,	37.1,	2.52932,	0.601333,	234.187,	15
23,	-9900015,	37.1,	2.52932,	0.601333,	234.187,	15
23,	-9900015,	37.1,	2.52932,	0.601333,	234.187,	15
24,	9900015,	5.72948,	-2.89032,	-1.7329,	51.7216,	15
24,	9900015,	5.72947,	-2.89032,	-1.7329,	51.7215,	15
24,	9900015,	5.72947,	-2.89032,	-1.7329,	51.7215,	15
25,	9900015,	30.5412,	3.48566,	-0.90336,	498.962,	15
25,	9900015,	30.5411,	3.48566,	-0.90336,	498.962,	15
26,	-9900015,	31.8169,	0.327666,	-2.35278,	33.5402,	15
27,	-9900015,	13.5406,	-3.55879,	-0.881535,	237.969,	15
28,	9900015,	32.5676,	4.81378,	0.509431,	2006.23,	15
29,	-9900015,	24.9716,	-2.28216,	-2.66844,	123.608,	15
29,	-9900015,	24.9716,	-2.28216,	-2.66844,	123.608,	15
30,	-9900015,	62.4263,	2.1992,	2.63441,	284.936,	15
31,	9900015,	90.5234,	3.07858,	1.46303,	985.51,	15
32,	-9900015,	38.3935,	1.18352,	2.94569,	68.5717,	15
32,	-9900015,	38.3935,	1.18352,	2.94569,	68.5717,	15
33,	9900015,	12.9627,	-0.644484,	2.00481,	15.7493,	15
33,	9900015,	12.9623,	-0.644471,	2.00481,	15.7486,	15
34,	-9900015,	28.4126,	2.36642,	-2.28316,	152.759,	15
35,	-9900015,	24.3846,	0.721183,	2.69685,	31.0056,	15
36,	-9900015,	13.8701,	2.37358,	0.244085,	75.0993,	15
37,	9900015,	44.7413,	1.26488,	2.7142,	85.5665,	15
38,	9900015,	40.0603,	-0.870715,	-0.458808,	56.2301,	15
38,	9900015,	40.0603,	-0.870715,	-0.458808,	56.2301,	15
39,	-9900015,	26.2884,	-1.75486,	2.03706,	78.2814,	15
39,	-9900015,	25.5362,	-1.76706,	2.03695,	76.9208,	15
40,	9900015,	10.1778,	4.30796,	1.58477,	378.119,	15
40,	9900015,	10.1778,	4.30796,	1.58477,	378.119,	15
41,	-9900015,	28.1687,	0.881574,	-0.0236958,	39.8422,	15
42,	-9900015,	34.1574,	1.92454,	-3.00863,	119.516,	15
42,	-9900015,	34.1574,	1.92454,	-3.00863,	119.516,	15
43,	9900015,	31.4897,	-2.04443,	-2.34257,	123.663,	15
43,	9900015,	31.4896,	-2.04443,	-2.34257,	123.663,	15
44,	-9900015,	10.7927,	-1.63108,	-1.12606,	28.6284,	15
45,	9900015,	25.3427,	3.83348,	-1.9493,	585.981,	15
46,	9900015,	24.2983,	3.0413,	1.18579,	254.892,	15
46,	9900015,	24.2979,	3.0413,	1.18579,	254.888,	15
47,	9900015,	34.9915,	0.361922,	1.0803,	37.3083,	15
48,	9900015,	19.9403,	-2.3492,	0.784604,	105.41,	15
48,	9900015,	19.9403,	-2.3492,	0.784603,	105.41,	15
49,	-9900015,	39.6059,	1.72912,	-2.12873,	115.118,	15
50,	9900015,	10.8722,	4.87282,	-0.841825,	710.481,	15
51,	9900015,	49.6172,	-2.79008,	-0.189417,	405.464,	15
52,	-9900015,	31.2384,	-2.84257,	-1.15055,	268.931,	15
52,	-9900015,	31.2384,	-2.84257,	-1.15055,	268.931,	15
53,	9900015,	42.9094,	-2.61871,	1.70807,	295.881,	15
53,	9900015,	42.9094,	-2.61871,	1.70807,	295.881,	15
54,	9900015,	30.0406,	2.86582,	-0.248635,	264.663,	15
54,	9900015,	30.0406,	2.86582,	-0.248635,	264.663,	15
54,	9900015,	30.0406,	2.86582,	-0.248635,	264.663,	15
55,	-9900015,	27.0091,	-3.10982,	-1.8812,	303.334,	15
55,	-9900015,	27.0091,	-3.10982,	-1.8812,	303.334,	15
56,	9900015,	20.1064,	-1.02129,	1.3584,	31.5359,	15
56,	9900015,	20.0919,	-1.02165,	1.35837,	31.5218,	15
56,	9900015,	20.0914,	-1.02166,	1.35837,	31.5214,	15
56,	9900015,	20.0914,	-1.02166,	1.35837,	31.5214,	15
57,	9900015,	38.5605,	-0.810264,	2.64523,	51.9264,	15
57,	9900015,	38.5605,	-0.810264,	2.64523,	51.9264,	15
58,	9900015,	28.0029,	4.35798,	-0.0340883,	1093.68,	15
58,	9900015,	28.0026,	4.35798,	-0.0340883,	1093.67,	15
59,	-9900015,	31.369,	1.60078,	2.65507,	80.9105,	15
60,	-9900015,	26.8324,	2.15215,	-0.0874162,	116.984,	15
60,	-9900015,	26.8324,	2.15215,	-0.0874162,	116.984,	15
61,	-9900015,	19.4559,	-1.79865,	-0.0440708,	60.3814,	15
62,	-9900015,	35.2857,	-0.566369,	1.0445,	41.098,	15
62,	-9900015,	35.2857,	-0.566369,	1.0445,	41.098,	15
63,	9900015,	12.0493,	1.2276,	1.90168,	22.3275,	15
63,	9900015,	12.0493,	1.2276,	1.90168,	22.3275,	15
63,	9900015,	12.0493,	1.2276,	1.90168,	22.3275,	15
64,	-9900015,	31.6821,	3.99183,	-1.32076,	858.148,	15
65,	-9900015,	7.76537,	0.574428,	2.84654,	9.08215,	15
65,	-9900015,	7.76537,	0.574429,	2.84654,	9.08215,	15
66,	-9900015,	34.0429,	-0.665973,	0.275088,	41.8754,	15
66,	-9900015,	34.0429,	-0.665973,	0.275088,	41.8754,	15
66,	-9900015,	34.0429,	-0.665973,	0.275088,	41.8754,	15
67,	9900015,	37.4023,	-1.06688,	1.8842,	60.7858,	15
68,	-9900015,	22.1529,	-0.837273,	0.308275,	30.3821,	15
69,	-9900015,	29.7981,	2.0696,	0.975801,	119.905,	15
69,	-9900015,	29.7981,	2.0696,	0.975801,	119.905,	15
69,	-9900015,	29.7981,	2.0696,	0.975801,	119.905,	15
70,	9900015,	32.8366,	3.75268,	2.54572,	700.384,	15
71,	-9900015,	35.118,	1.32048,	0.193733,	70.451,	15
72,	9900015,	31.246,	1.43496,	-3.12927,	69.3289,	15
72,	9900015,	31.246,	1.43496,	-3.12927,	69.3289,	15
73,	9900015,	23.7905,	4.61019,	-1.44876,	1195.63,	15
73,	9900015,	23.7042,	4.61053,	-1.44877,	1191.7,	15
73,	9900015,	23.7042,	4.61053,	-1.44877,	1191.7,	15
74,	-9900015,	29.4638,	-1.68401,	-2.85501,	82.0973,	15
74,	-9900015,	29.4635,	-1.68401,	-2.85501,	82.0965,	15
74,	-9900015,	29.4635,	-1.68401,	-2.85501,	82.0965,	15
75,	-9900015,	21.2068,	-0.141684,	1.08938,	21.42,	15
76,	-9900015,	24.1417,	-2.71043,	1.44019,	182.296,	15
76,	-9900015,	24.1385,	-2.71049,	1.44019,	182.284,	15
77,	-9900015,	22.6221,	0.395551,	3.13003,	24.415,	15
78,	9900015,	17.0205,	2.13954,	-0.275017,	73.3009,	15
78,	9900015,	17.0184,	2.13954,	-0.275017,	73.2921,	15
79,	-9900015,	3.72108,	1.66832,	-0.892746,	10.2177,	15
79,	-9900015,	3.72108,	1.66832,	-0.892746,	10.2177,	15
80,	9900015,	39.2835,	-0.882296,	-1.13488,	55.5915,	15
81,	9900015,	22.9304,	0.930556,	1.77966,	33.596,	15
82,	-9900015,	5.46254,	-5.81804,	3.0412,	918.567,	15
82,	-9900015,	5.46254,	-5.81804,	3.0412,	918.567,	15
83,	9900015,	22.1308,	-2.99334,	-0.308018,	221.334,	15
83,	9900015,	22.1308,	-2.99334,	-0.308018,	221.334,	15
84,	9900015,	23.0858,	4.69891,	1.50842,	1267.83,	15
84,	9900015,	23.0806,	4.69892,	1.50842,	1267.57,	15
84,	9900015,	23.0806,	4.69892,	1.50842,	1267.57,	15
85,	9900015,	37.9449,	2.44818,	-1.22671,	221.1,	15
85,	9900015,	37.9449,	2.44818,	-1.22671,	221.1,	15
86,	9900015,	27.8784,	3.4232,	-2.93545,	427.935,	15
86,	9900015,	27.8784,	3.4232,	-2.93545,	427.935,	15
86,	9900015,	27.8784,	3.4232,	-2.93545,	427.935,	15
87,	9900015,	24.9938,	2.52111,	-0.783255,	156.496,	15
88,	-9900015,	34.3985,	-1.24919,	0.445852,	64.9144,	15
88,	-9900015,	34.3977,	-1.2492,	0.445852,	64.9132,	15
88,	-9900015,	34.3977,	-1.2492,	0.445852,	64.9132,	15
89,	-9900015,	35.5653,	1.76517,	2.11864,	106.94,	15
89,	-9900015,	35.5652,	1.76517,	2.11864,	106.939,	15
90,	9900015,	66.0414,	3.10859,	-1.31607,	740.789,	15
90,	9900015,	66.0414,	3.10859,	-1.31607,	740.789,	15
91,	9900015,	21.5323,	3.73613,	-1.27169,	451.742,	15
91,	9900015,	21.5323,	3.73613,	-1.27169,	451.742,	15
92,	9900015,	17.2704,	2.71938,	0.734102,	131.573,	15
93,	9900015,	44.7243,	3.21649,	1.25645,	558.621,	15
94,	9900015,	34.0488,	3.48272,	-1.01685,	554.638,	15
95,	9900015,	10.0436,	1.73727,	-2.33524,	29.4167,	15
96,	-9900015,	41.7333,	3.26909,	-0.0304754,	549.325,	15
97,	9900015,	38.3316,	-1.09208,	2.6584,	63.5533,	15
97,	9900015,	38.3316,	-1.09208,	2.6584,	63.5533,	15
98,	-9900015,	36.3698,	0.115999,	0.540325,	36.6148,	15
98,	-9900015,	36.3698,	0.115999,	0.540325,	36.6148,	15
99,	9900015,	14.546,	-0.932612,	0.423067,	21.3438,	15
99,	9900015,	14.546,	-0.932612,	0.423067,	21.3437,	15
100,	9900015,	33.7813,	0.822443,	-2.63482,	45.865,	15
100,	9900015,	33.5615,	0.822558,	-2.63472,	45.5702,	15
100,	9900015,	33.5615,	0.822558,	-2.63472,	45.5702,	15
101,	-9900015,	37.9939,	-0.194567,	-1.76636,	38.7154,	15
101,	-9900015,	37.9939,	-0.194567,	-1.76636,	38.7154,	15
102,	-9900015,	19.0612,	1.84242,	3.10363,	61.665,	15
103,	-9900015,	19.1991,	1.11582,	0.170545,	32.4439,	15
104,	-9900015,	9.64805,	-0.825533,	1.07167,	13.1267,	15
104,	-9900015,	9.64805,	-0.825533,	1.07167,	13.1267,	15
105,	9900015,	39.6342,	2.23465,	-1.59995,	187.276,	15
106,	9900015,	32.2877,	1.50587,	2.33114,	76.359,	15
106,	9900015,	32.2743,	1.50593,	2.33115,	76.3312,	15
106,	9900015,	32.2736,	1.50593,	2.33115,	76.3298,	15
107,	-9900015,	2.31735,	1.94902,	2.93845,	8.301,	15
108,	-9900015,	32.8217,	-3.47252,	-1.68404,	529.234,	15
108,	-9900015,	32.8217,	-3.47252,	-1.68404,	529.234,	15
109,	9900015,	30.178,	1.12933,	-2.085,	51.5565,	15
110,	9900015,	15.25,	-4.83434,	-2.01575,	958.948,	15
110,	9900015,	15.2489,	-4.83435,	-2.01575,	958.883,	15
111,	9900015,	4.24186,	-2.03855,	-0.0624749,	16.5638,	15
111,	9900015,	4.24186,	-2.03855,	-0.0624749,	16.5638,	15
112,	-9900015,	36.8625,	0.738103,	0.652131,	47.368,	15
113,	9900015,	38.1606,	4.28773,	-1.93262,	1389.33,	15
113,	9900015,	38.1606,	4.28773,	-1.93262,	1389.33,	15
114,	9900015,	32.0439,	2.98849,	2.7271,	318.933,	15
114,	9900015,	32.0148,	2.98856,	2.72709,	318.667,	15
115,	9900015,	56.2788,	-2.82525,	-1.80212,	476.245,	15
115,	9900015,	56.2094,	-2.82527,	-1.80212,	475.668,	15
116,	-9900015,	30.8717,	-2.86125,	2.3429,	270.755,	15
117,	9900015,	33.0974,	0.158684,	2.76613,	33.515,	15
117,	9900015,	33.0974,	0.158684,	2.76613,	33.515,	15
118,	9900015,	33.874,	-4.29705,	-2.68173,	1244.81,	15
119,	-9900015,	30.493,	-3.78205,	1.19927,	669.759,	15
120,	9900015,	34.7323,	0.517711,	2.20077,	39.4917,	15
120,	9900015,	34.7323,	0.517711,	2.20077,	39.4917,	15
121,	-9900015,	26.7616,	0.698709,	-0.579434,	33.5641,	15
121,	-9900015,	26.7616,	0.698708,	-0.579434,	33.5641,	15
122,	9900015,	22.5479,	-0.474541,	-2.39104,	25.1347,	15
123,	-9900015,	18.0916,	-5.41713,	1.0708,	2037.45,	15
124,	-9900015,	58.0134,	1.60812,	-2.57101,	150.651,	15
125,	9900015,	28.9575,	-5.525,	-0.767189,	3632.59,	15
126,	9900015,	35.0931,	-2.14927,	2.53691,	152.571,	15
127,	-9900015,	23.203,	1.2479,	-0.284331,	43.739,	15
127,	-9900015,	23.203,	1.2479,	-0.284331,	43.739,	15
128,	9900015,	33.1737,	1.491,	-2.72925,	77.4052,	15
129,	9900015,	36.2379,	-2.86956,	-2.38473,	320.451,	15
129,	9900015,	36.2378,	-2.86956,	-2.38473,	320.451,	15
130,	9900015,	21.3553,	0.7625,	-1.54966,	27.8701,	15
130,	9900015,	21.3553,	0.7625,	-1.54966,	27.8701,	15
130,	9900015,	21.3553,	0.7625,	-1.54966,	27.8701,	15
131,	-9900015,	27.6962,	0.802997,	-1.70786,	37.1158,	15
132,	-9900015,	35.7196,	3.07349,	-1.41012,	386.904,	15
132,	-9900015,	35.7188,	3.07349,	-1.41012,	386.896,	15
133,	-9900015,	33.5676,	-1.45418,	1.37325,	75.7714,	15
134,	-9900015,	13.2346,	3.59626,	2.21409,	241.458,	15
135,	9900015,	24.9016,	4.07773,	1.90118,	734.948,	15
135,	9900015,	24.9016,	4.07773,	1.90118,	734.948,	15
135,	9900015,	24.9016,	4.07773,	1.90118,	734.948,	15
136,	9900015,	15.0453,	-4.56378,	-0.895877,	721.84,	15
137,	9900015,	21.1747,	-1.90603,	-1.50783,	72.788,	15
138,	9900015,	22.0075,	4.86486,	-2.96154,	1426.75,	15
138,	9900015,	22.0071,	4.86486,	-2.96154,	1426.73,	15
139,	9900015,	8.35791,	-1.53974,	-1.89861,	20.3842,	15
140,	-9900015,	28.4575,	0.246979,	-0.210959,	29.3298,	15
140,	-9900015,	28.4574,	0.246979,	-0.210959,	29.3297,	15
140,	-9900015,	28.4574,	0.246979,	-0.210959,	29.3297,	15
141,	9900015,	35.4317,	-0.81866,	1.5326,	47.983,	15
141,	9900015,	35.4317,	-0.81866,	1.5326,	47.983,	15
142,	-9900015,	33.3396,	0.127489,	0.572763,	33.6109,	15
143,	9900015,	37.654,	-3.55041,	2.83619,	656.238,	15
143,	9900015,	37.6539,	-3.55041,	2.83619,	656.237,	15
144,	-9900015,	38.5947,	-1.02792,	2.11046,	60.8444,	15
145,	9900015,	47.9617,	1.91999,	2.48832,	167.086,	15
145,	9900015,	47.9617,	1.91999,	2.48832,	167.086,	15
146,	-9900015,	29.8058,	-1.44781,	0.208253,	66.8973,	15
147,	9900015,	12.7037,	5.04983,	1.52214,	990.903,	15
148,	9900015,	21.297,	-1.14295,	0.932731,	36.7892,	15
148,	9900015,	21.2942,	-1.14302,	0.932733,	36.7865,	15
149,	-9900015,	24.9047,	1.37319,	2.67181,	52.3154,	15
150,	-9900015,	27.7562,	1.33722,	0.288357,	56.498,	15
150,	-9900015,	27.7561,	1.33722,	0.288357,	56.4978,	15
151,	-9900015,	25.0282,	-0.0893156,	-1.18657,	25.1281,	15
151,	-9900015,	25.0282,	-0.0893156,	-1.18657,	25.1281,	15
151,	-9900015,	25.0282,	-0.0893156,	-1.18657,	25.1281,	15
152,	-9900015,	2.53392,	-6.14152,	-2.4443,	588.835,	15
153,	9900015,	24.6574,	-3.98476,	0.871649,	663.176,	15
154,	9900015,	25.845,	2.78447,	-2.46474,	210.028,	15
154,	9900015,	25.845,	2.78447,	-2.46474,	210.028,	15
155,	-9900015,	39.9898,	-0.444348,	-2.76449,	44.0031,	15
156,	-9900015,	32.3788,	-1.15837,	1.09952,	56.6427,	15
156,	-9900015,	32.3788,	-1.15837,	1.09952,	56.6427,	15
157,	9900015,	28.0244,	-5.06427,	2.23653,	2217.73,	15
158,	-9900015,	41.0162,	-3.70207,	-1.32075,	831.718,	15
158,	-9900015,	41.0156,	-3.70207,	-1.32075,	831.709,	15
158,	-9900015,	41.0156,	-3.70207,	-1.32075,	831.709,	15
159,	9900015,	30.2679,	1.0288,	0.425036,	47.7496,	15
160,	9900015,	37.3453,	-3.40025,	-3.07129,	560.27,	15
160,	9900015,	37.3453,	-3.40025,	-3.07129,	560.27,	15
160,	9900015,	37.3453,	-3.40025,	-3.07129,	560.27,	15
161,	9900015,	19.4444,	-1.00243,	3.05952,	30.0599,	15
161,	9900015,	19.4434,	-1.00246,	3.05952,	30.0591,	15
162,	9900015,	7.14679,	-6.64079,	1.34129,	2736.15,	15
163,	-9900015,	26.3124,	3.0458,	-1.86258,	277.26,	15
163,	-9900015,	26.3124,	3.0458,	-1.86258,	277.26,	15
164,	9900015,	31.5024,	4.31028,	-2.62242,	1173.07,	15
164,	9900015,	31.5024,	4.31028,	-2.62242,	1173.07,	15
165,	-9900015,	24.663,	-2.52841,	-0.196756,	155.542,	15
166,	-9900015,	25.0679,	3.00016,	1.77391,	252.416,	15
167,	-9900015,	23.8542,	0.392782,	0.468654,	25.7181,	15
167,	-9900015,	23.8541,	0.392784,	0.468654,	25.7179,	15
167,	-9900015,	23.8541,	0.392784,	0.468654,	25.7179,	15
168,	-9900015,	23.9997,	-0.856923,	-1.8943,	33.364,	15
169,	9900015,	34.5178,	2.89415,	-0.979217,	312.791,	15
170,	-9900015,	42.9829,	1.66411,	0.577791,	117.565,	15
171,	-9900015,	37.0042,	2.15835,	-0.382509,	162.306,	15
172,	-9900015,	29.9451,	2.27078,	-1.31186,	146.584,	15
173,	9900015,	28.3933,	2.883,	-0.976867,	254.458,	15
173,	9900015,	28.2903,	2.88318,	-0.976744,	253.58,	15
173,	9900015,	28.2903,	2.88318,	-0.976744,	253.58,	15
174,	9900015,	30.6016,	-0.705406,	2.17233,	38.5363,	15
175,	-9900015,	39.7988,	-0.108398,	1.91313,	40.0328,	15
176,	-9900015,	27.6304,	3.62215,	-1.93723,	517.306,	15
176,	-9900015,	27.6295,	3.62216,	-1.93723,	517.291,	15
177,	-9900015,	13.1556,	1.46369,	-1.80048,	29.9505,	15
178,	9900015,	33.571,	3.81964,	-0.843536,	765.58,	15
178,	9900015,	33.571,	3.81964,	-0.843536,	765.58,	15
179,	9900015,	34.6756,	-3.35622,	2.04869,	497.864,	15
179,	9900015,	34.6756,	-3.35622,	2.04869,	497.864,	15
180,	9900015,	42.6011,	-3.00944,	-2.48666,	432.941,	15
181,	-9900015,	10.4322,	2.6795,	-2.16828,	76.3969,	15
182,	-9900015,	36.0518,	-0.824683,	1.24089,	49.022,	15
182,	-9900015,	36.0517,	-0.824683,	1.24089,	49.0219,	15
183,	9900015,	37.2378,	0.772827,	1.76024,	48.9227,	15
183,	9900015,	37.2378,	0.772827,	1.76024,	48.9227,	15
184,	9900015,	37.2348,	-0.331089,	-0.559514,	39.2944,	15
185,	-9900015,	17.4923,	5.4464,	-0.869064,	2028.48,	15
186,	-9900015,	45.6521,	-3.19132,	-2.52485,	556.079,	15
187,	9900015,	22.8926,	3.61403,	2.5574,	425.143,	15
187,	9900015,	22.8681,	3.6142,	2.55741,	424.758,	15
188,	9900015,	39.3955,	-3.69803,	-3.00462,	795.638,	15
188,	9900015,	39.3955,	-3.69803,	-3.00462,	795.638,	15
188,	9900015,	39.3955,	-3.69803,	-3.00462,	795.638,	15
189,	9900015,	6.70191,	-4.8646,	-2.52298,	434.373,	15
190,	9900015,	17.1861,	4.17693,	-2.927,	560.102,	15
191,	-9900015,	39.2394,	1.56216,	-0.991362,	97.6821,	15
191,	-9900015,	39.2394,	1.56216,	-0.991362,	97.6821,	15
192,	-9900015,	45.225,	2.38487,	3.12066,	247.602,	15
192,	-9900015,	45.225,	2.38487,	3.12066,	247.602,	15
193,	9900015,	43.3094,	1.31878,	-3.12852,	86.7554,	15
193,	9900015,	43.3091,	1.31878,	-3.12852,	86.7549,	15
194,	9900015,	30.8037,	-3.23587,	0.973627,	392.253,	15
194,	9900015,	30.8037,	-3.23587,	0.973627,	392.253,	15
195,	-9900015,	7.05955,	-4.18211,	-2.91651,	231.268,	15
196,	9900015,	16.5932,	2.33931,	2.63977,	86.8693,	15
196,	9900015,	16.5932,	2.33931,	2.63977,	86.8693,	15
197,	-9900015,	26.5369,	3.26353,	-0.878735,	347.367,	15
198,	-9900015,	24.7245,	1.41608,	-1.91914,	53.9441,	15
199,	-9900015,	20.5796,	1.52527,	1.19655,	49.5343,	15
200,	9900015,	16.7197,	-2.39244,	-0.677914,	92.2223,	15
200,	9900015,	16.7197,	-2.39244,	-0.677914,	92.2223,	15
201,	9900015,	19.3126,	1.45055,	0.087241,	43.4525,	15
201,	9900015,	19.3126,	1.45055,	0.087241,	43.4525,	15
202,	-9900015,	35.5336,	2.26948,	-1.62992,	173.718,	15
203,	9900015,	61.0187,	3.5937,	-0.968149,	1110.42,	15
203,	9900015,	60.9428,	3.59375,	-0.968145,	1109.09,	15
204,	-9900015,	36.4793,	3.00518,	-2.66972,	369.158,	15
205,	9900015,	23.6646,	-4.52149,	-0.221715,	1088.38,	15
206,	9900015,	32.6502,	-3.03182,	-2.10417,	339.286,	15
206,	9900015,	32.6502,	-3.03182,	-2.10417,	339.286,	15
206,	9900015,	32.6502,	-3.03182,	-2.10417,	339.286,	15
207,	-9900015,	10.8718,	-1.38719,	-2.85376,	23.121,	15
208,	9900015,	19.5684,	2.91009,	-2.87462,	180.156,	15
208,	9900015,	19.5684,	2.91009,	-2.87462,	180.156,	15
209,	-9900015,	34.3966,	3.01424,	2.60275,	351.237,	15
210,	-9900015,	16.6638,	2.49782,	1.2894,	101.968,	15
210,	-9900015,	16.6635,	2.49783,	1.2894,	101.966,	15
211,	-9900015,	25.7891,	1.25508,	-2.04773,	48.9113,	15
212,	9900015,	54.5385,	2.5685,	1.70075,	357.85,	15
213,	-9900015,	37.1709,	2.88328,	-0.100662,	333.213,	15
214,	-9900015,	33.6722,	3.23471,	1.01914,	428.283,	15
215,	-9900015,	23.6468,	2.99581,	-1.01983,	237.077,	15
215,	-9900015,	23.6468,	2.99581,	-1.01983,	237.077,	15
215,	-9900015,	23.6468,	2.99581,	-1.01983,	237.077,	15
216,	9900015,	35.6857,	-0.181761,	1.36158,	36.2768,	15
217,	9900015,	30.8453,	-3.33976,	0.679251,	435.657,	15
217,	9900015,	30.8453,	-3.33976,	0.679251,	435.657,	15
217,	9900015,	30.8447,	-3.33976,	0.67925,	435.649,	15
218,	-9900015,	20.0009,	0.154018,	-2.76872,	20.2385,	15
219,	9900015,	38.3145,	-3.43107,	0.396041,	592.766,	15
220,	-9900015,	38.2464,	-1.17719,	-0.657022,	67.9523,	15
221,	-9900015,	38.3185,	1.01223,	-1.33177,	59.6839,	15
222,	-9900015,	14.2782,	-3.29454,	-0.810368,	192.77,	15
223,	-9900015,	30.6705,	0.963526,	-0.83248,	46.0436,	15
223,	-9900015,	30.6705,	0.963526,	-0.83248,	46.0435,	15
223,	-9900015,	30.6705,	0.963526,	-0.83248,	46.0435,	15
224,	9900015,	34.2885,	-3.08793,	-2.96207,	376.785,	15
225,	9900015,	37.425,	-2.69509,	-1.81013,	278.336,	15
226,	-9900015,	32.6837,	-0.07417,	-1.2755,	32.7737,	15
226,	-9900015,	32.6837,	-0.07417,	-1.2755,	32.7737,	15
227,	-9900015,	22.2924,	1.97263,	-0.0626612,	81.6867,	15
228,	9900015,	8.45095,	1.75001,	0.598067,	25.0505,	15
229,	-9900015,	9.67241,	-1.95494,	2.80695,	34.8452,	15
229,	-9900015,	9.67241,	-1.95494,	2.80695,	34.8452,	15
230,	-9900015,	34.1245,	0.454278,	2.07319,	37.7066,	15
231,	9900015,	19.1926,	-1.57709,	0.980075,	48.4366,	15
231,	9900015,	19.1926,	-1.57709,	0.980075,	48.4366,	15
232,	-9900015,	45.9675,	2.04802,	-2.64775,	181.146,	15
233,	9900015,	39.1166,	-0.370568,	1.70616,	41.8333,	15
233,	9900015,	39.1154,	-0.37057,	1.70615,	41.832,	15
234,	9900015,	37.7905,	0.325881,	-0.781754,	39.815,	15
235,	-9900015,	36.3484,	2.2867,	-1.315,	180.725,	15
235,	-9900015,	36.3483,	2.2867,	-1.315,	180.725,	15
236,	9900015,	42.1501,	2.75726,	-2.03367,	333.407,	15
237,	-9900015,	16.0777,	0.732815,	-1.60573,	20.5913,	15
238,	9900015,	39.8165,	0.453364,	-2.37823,	43.979,	15
238,	9900015,	39.8165,	0.453364,	-2.37823,	43.979,	15
239,	9900015,	8.49833,	3.42475,	0.0649786,	130.652,	15
239,	9900015,	8.49833,	3.42475,	0.0649786,	130.652,	15
240,	9900015,	40.6721,	3.50344,	-1.8063,	676.37,	15
240,	9900015,	40.6721,	3.50344,	-1.8063,	676.37,	15
241,	9900015,	22.9537,	1.46455,	-0.294722,	52.2976,	15
242,	-9900015,	32.4684,	1.84526,	0.84644,	105.323,	15
242,	-9900015,	32.4682,	1.84526,	0.84644,	105.323,	15
243,	9900015,	20.2012,	-5.07299,	-2.11875,	1612.63,	15
244,	-9900015,	11.934,	-1.90919,	-0.330246,	41.1474,	15
245,	-9900015,	10.427,	-0.914921,	2.12966,	15.1042,	15
246,	-9900015,	44.2998,	3.24481,	3.03424,	569.162,	15
247,	9900015,	37.0957,	2.57289,	3.09708,	244.46,	15
248,	-9900015,	57.8869,	0.291472,	-0.632032,	60.3632,	15
248,	-9900015,	57.8869,	0.291472,	-0.632032,	60.3632,	15
249,	9900015,	48.3499,	1.39685,	1.98725,	103.706,	15
