event,id,pt,eta,phi,momentum,mass,decay_length,hits_tube,entry_distance,exit_distance,path_length_in_tube,decay_probability,n_particles_in_event,n_particles_hitting_tube,prob_at_least_one_decays,prob_both_decay,prob_exactly_one_decays,particle1_decay_prob,particle2_decay_prob
113,9900015,38.1606,4.28773,-1.93262,1389.33,15,277.67377044876,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
114,9900015,32.0439,2.98849,2.7271,318.933,15,63.74247200487601,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
114,9900015,32.0148,2.98856,2.72709,318.667,15,63.68930880899066,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
115,9900015,56.2788,-2.82525,-1.80212,476.245,15,95.18310610680668,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
115,9900015,56.2094,-2.82527,-1.80212,475.668,15,95.06778594129601,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
116,-9900015,30.8717,-2.86125,2.3429,270.755,15,54.11353797719333,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
117,9900015,33.0974,0.158684,2.76613,33.515,15,6.698362819913334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
117,9900015,33.0974,0.158684,2.76613,33.515,15,6.698362819913334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
118,9900015,33.874,-4.29705,-2.68173,1244.81,15,248.7897664286533,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
119,-9900015,30.493,-3.78205,1.19927,669.759,15,133.85913125174798,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
120,9900015,34.7323,0.517711,2.20077,39.4917,15,7.892875875732401,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
120,9900015,34.7323,0.517711,2.20077,39.4917,15,7.892875875732401,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
121,-9900015,26.7616,0.698709,-0.579434,33.5641,15,6.708176026371868,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
121,-9900015,26.7616,0.698708,-0.579434,33.5641,15,6.708176026371868,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
122,9900015,22.5479,-0.474541,-2.39104,25.1347,15,5.023462329395067,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
123,-9900015,18.0916,-5.41713,1.0708,2037.45,15,407.20809570140005,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
124,-9900015,58.0134,1.60812,-2.57101,150.651,15,30.10935572677201,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
125,9900015,28.9575,-5.525,-0.767189,3632.59,15,726.0153900041468,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
126,9900015,35.0931,-2.14927,2.53691,152.571,15,30.493090073011995,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
127,-9900015,23.203,1.2479,-0.284331,43.739,15,8.741748213641333,True,25.928129151753698,27.422698724061902,1.4945695723082046,0.00809465926460408,2,2,0.01612379502059813,6.552350861004067e-05,0.01605827151198809,0.00809465926460408,0.00809465926460408
127,-9900015,23.203,1.2479,-0.284331,43.739,15,8.741748213641333,True,25.928129151753698,27.422698724061902,1.4945695723082046,0.00809465926460408,2,2,0.01612379502059813,6.552350861004067e-05,0.01605827151198809,0.00809465926460408,0.00809465926460408
128,9900015,33.1737,1.491,-2.72925,77.4052,15,15.470330113321067,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
129,9900015,36.2379,-2.86956,-2.38473,320.451,15,64.04586197237201,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
129,9900015,36.2378,-2.86956,-2.38473,320.451,15,64.04586197237201,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
130,9900015,21.3553,0.7625,-1.54966,27.8701,15,5.570163855803867,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
130,9900015,21.3553,0.7625,-1.54966,27.8701,15,5.570163855803867,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
130,9900015,21.3553,0.7625,-1.54966,27.8701,15,5.570163855803867,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
131,-9900015,27.6962,0.802997,-1.70786,37.1158,15,7.4180246084242665,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
132,-9900015,35.7196,3.07349,-1.41012,386.904,15,77.32726744668801,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
132,-9900015,35.7188,3.07349,-1.41012,386.896,15,77.32566855357868,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
133,-9900015,33.5676,-1.45418,1.37325,75.7714,15,15.143796168067468,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
134,-9900015,13.2346,3.59626,2.21409,241.458,15,48.258191549176004,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
135,9900015,24.9016,4.07773,1.90118,734.948,15,146.88791161478935,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
135,9900015,24.9016,4.07773,1.90118,734.948,15,146.88791161478935,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
135,9900015,24.9016,4.07773,1.90118,734.948,15,146.88791161478935,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
136,9900015,15.0453,-4.56378,-0.895877,721.84,15,144.26812525514669,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
137,9900015,21.1747,-1.90603,-1.50783,72.788,15,14.547528955269335,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
138,9900015,22.0075,4.86486,-2.96154,1426.75,15,285.1525929676667,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
138,9900015,22.0071,4.86486,-2.96154,1426.73,15,285.1485957348933,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
139,9900015,8.35791,-1.53974,-1.89861,20.3842,15,4.0740196149090675,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
140,-9900015,28.4575,0.246979,-0.210959,29.3298,15,5.8619018897656,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
140,-9900015,28.4574,0.246979,-0.210959,29.3297,15,5.861881903601733,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
140,-9900015,28.4574,0.246979,-0.210959,29.3297,15,5.861881903601733,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
141,9900015,35.4317,-0.81866,1.5326,47.983,15,9.589961008142668,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
141,9900015,35.4317,-0.81866,1.5326,47.983,15,9.589961008142668,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
142,-9900015,33.3396,0.127489,0.572763,33.6109,15,6.717529551061467,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
143,9900015,37.654,-3.55041,2.83619,656.238,15,131.156802035336,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
143,9900015,37.6539,-3.55041,2.83619,656.237,15,131.15660217369734,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
144,-9900015,38.5947,-1.02792,2.11046,60.8444,15,12.160461487690132,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
145,9900015,47.9617,1.91999,2.48832,167.086,15,33.39408175825867,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
145,9900015,47.9617,1.91999,2.48832,167.086,15,33.39408175825867,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
146,-9900015,29.8058,-1.44781,0.208253,66.8973,15,13.3702040003756,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
147,9900015,12.7037,5.04983,1.52214,990.903,15,198.04349733971603,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
148,9900015,21.297,-1.14295,0.932731,36.7892,15,7.352749797235734,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
148,9900015,21.2942,-1.14302,0.932733,36.7865,15,7.3522101708113325,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
149,-9900015,24.9047,1.37319,2.67181,52.3154,15,10.455841571502132,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
150,-9900015,27.7562,1.33722,0.288357,56.498,15,11.291782861389335,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
150,-9900015,27.7561,1.33722,0.288357,56.4978,15,11.291742889061602,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
151,-9900015,25.0282,-0.0893156,-1.18657,25.1281,15,5.022143242579867,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
151,-9900015,25.0282,-0.0893156,-1.18657,25.1281,15,5.022143242579867,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
151,-9900015,25.0282,-0.0893156,-1.18657,25.1281,15,5.022143242579867,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
152,-9900015,2.53392,-6.14152,-2.4443,588.835,15,117.68552800428667,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
153,9900015,24.6574,-3.98476,0.871649,663.176,15,132.54344208440534,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
154,9900015,25.845,2.78447,-2.46474,210.028,15,41.97654024588267,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
154,9900015,25.845,2.78447,-2.46474,210.028,15,41.97654024588267,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
155,-9900015,39.9898,-0.444348,-2.76449,44.0031,15,8.794531672413202,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
156,-9900015,32.3788,-1.15837,1.09952,56.6427,15,11.3207028405044,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
156,-9900015,32.3788,-1.15837,1.09952,56.6427,15,11.3207028405044,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
157,9900015,28.0244,-5.06427,2.23653,2217.73,15,443.2391519202267,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
158,-9900015,41.0162,-3.70207,-1.32075,831.718,15,166.22852238856265,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
158,-9900015,41.0156,-3.70207,-1.32075,831.709,15,166.22672363381466,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
158,-9900015,41.0156,-3.70207,-1.32075,831.709,15,166.22672363381466,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
159,9900015,30.2679,1.0288,0.425036,47.7496,15,9.543313301677868,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
160,9900015,37.3453,-3.40025,-3.07129,560.27,15,111.97648029577331,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
160,9900015,37.3453,-3.40025,-3.07129,560.27,15,111.97648029577331,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
160,9900015,37.3453,-3.40025,-3.07129,560.27,15,111.97648029577331,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
161,9900015,19.4444,-1.00243,3.05952,30.0599,15,6.007820872156134,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
161,9900015,19.4434,-1.00246,3.05952,30.0591,15,6.0076609828452,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
162,9900015,7.14679,-6.64079,1.34129,2736.15,15,546.8514226378,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
163,-9900015,26.3124,3.0458,-1.86258,277.26,15,55.41363793672,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
163,-9900015,26.3124,3.0458,-1.86258,277.26,15,55.41363793672,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
164,9900015,31.5024,4.31028,-2.62242,1173.07,15,234.4516924707067,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
164,9900015,31.5024,4.31028,-2.62242,1173.07,15,234.4516924707067,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
165,-9900015,24.663,-2.52841,-0.196756,155.542,15,31.086879001490665,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
166,-9900015,25.0679,3.00016,1.77391,252.416,15,50.44827538568534,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
167,-9900015,23.8542,0.392782,0.468654,25.7181,15,5.1400616093932,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
167,-9900015,23.8541,0.392784,0.468654,25.7179,15,5.140021637065466,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
167,-9900015,23.8541,0.392784,0.468654,25.7179,15,5.140021637065466,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
168,-9900015,23.9997,-0.856923,-1.8943,33.364,15,6.668183712474666,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
169,9900015,34.5178,2.89415,-0.979217,312.791,15,62.514921820185336,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
170,-9900015,42.9829,1.66411,0.577791,117.565,15,23.496733549846663,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
171,-9900015,37.0042,2.15835,-0.382509,162.306,15,32.438743125432005,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
172,-9900015,29.9451,2.27078,-1.31186,146.584,15,29.296518442314664,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
173,9900015,28.3933,2.883,-0.976867,254.458,15,50.856392851842664,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
173,9900015,28.2903,2.88318,-0.976744,253.58,15,50.68091433309333,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
173,9900015,28.2903,2.88318,-0.976744,253.58,15,50.68091433309333,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
174,9900015,30.6016,-0.705406,2.17233,38.5363,15,7.701928066150267,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
175,-9900015,39.7988,-0.108398,1.91313,40.0328,15,8.001021008414934,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
176,-9900015,27.6304,3.62215,-1.93723,517.306,15,103.38962485209868,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
176,-9900015,27.6295,3.62216,-1.93723,517.291,15,103.38662692751869,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
177,-9900015,13.1556,1.46369,-1.80048,29.9505,15,5.985956008886,True,22.85696693344693,25.91560778036406,3.058640846917129,0.008786778398772973,1,1,0.008786778398772954,0.0,0.008786778398772954,0.008786778398772973,0.0
178,9900015,33.571,3.81964,-0.843536,765.58,15,153.01007333042665,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
178,9900015,33.571,3.81964,-0.843536,765.58,15,153.01007333042665,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
179,9900015,34.6756,-3.35622,2.04869,497.864,15,99.50391487314133,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
179,9900015,34.6756,-3.35622,2.04869,497.864,15,99.50391487314133,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
180,9900015,42.6011,-3.00944,-2.48666,432.941,15,86.52829770598532,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
181,-9900015,10.4322,2.6795,-2.16828,76.3969,15,15.268809623053468,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
182,-9900015,36.0518,-0.824683,1.24089,49.022,15,9.797617250717332,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
182,-9900015,36.0517,-0.824683,1.24089,49.0219,15,9.797597264553467,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
183,9900015,37.2378,0.772827,1.76024,48.9227,15,9.777770989997732,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
183,9900015,37.2378,0.772827,1.76024,48.9227,15,9.777770989997732,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
184,9900015,37.2348,-0.331089,-0.559514,39.2944,15,7.853443174423468,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
185,-9900015,17.4923,5.4464,-0.869064,2028.48,15,405.41533680256,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
186,-9900015,45.6521,-3.19132,-2.52485,556.079,15,111.13886016812133,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
187,9900015,22.8926,3.61403,2.5574,425.143,15,84.96977664766267,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
187,9900015,22.8681,3.6142,2.55741,424.758,15,84.892829916776,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
188,9900015,39.3955,-3.69803,-3.00462,795.638,15,159.01751446546933,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
188,9900015,39.3955,-3.69803,-3.00462,795.638,15,159.01751446546933,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
188,9900015,39.3955,-3.69803,-3.00462,795.638,15,159.01751446546933,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
189,9900015,6.70191,-4.8646,-2.52298,434.373,15,86.814499572556,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
190,9900015,17.1861,4.17693,-2.927,560.102,15,111.94290354047732,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
191,-9900015,39.2394,1.56216,-0.991362,97.6821,15,19.522904574401203,True,23.431557848989822,25.550773815442803,2.1192159664529804,0.03097623523529397,2,2,0.060992943321235726,0.0009595271493522677,0.06003341617188346,0.03097623523529397,0.03097623523529397
191,-9900015,39.2394,1.56216,-0.991362,97.6821,15,19.522904574401203,True,23.431557848989822,25.550773815442803,2.1192159664529804,0.03097623523529397,2,2,0.060992943321235726,0.0009595271493522677,0.06003341617188346,0.03097623523529397,0.03097623523529397
192,-9900015,45.225,2.38487,3.12066,247.602,15,49.486141457143994,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
192,-9900015,45.225,2.38487,3.12066,247.602,15,49.486141457143994,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
193,9900015,43.3094,1.31878,-3.12852,86.7554,15,17.339076407182134,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
193,9900015,43.3091,1.31878,-3.12852,86.7549,15,17.338976476362802,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
194,9900015,30.8037,-3.23587,0.973627,392.253,15,78.396327351916,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
194,9900015,30.8037,-3.23587,0.973627,392.253,15,78.396327351916,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
195,-9900015,7.05955,-4.18211,-2.91651,231.268,15,46.22160145116266,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
196,9900015,16.5932,2.33931,2.63977,86.8693,15,17.361840647826266,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
196,9900015,16.5932,2.33931,2.63977,86.8693,15,17.361840647826266,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
197,-9900015,26.5369,3.26353,-0.878735,347.367,15,69.425337838724,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
198,-9900015,24.7245,1.41608,-1.91914,53.9441,15,10.781356222398534,True,23.05770386806654,26.061142161064964,3.0034382929984247,0.028644833001581136,1,1,0.02864483300158116,0.0,0.02864483300158116,0.028644833001581136,0.0
199,-9900015,20.5796,1.52527,1.19655,49.5343,15,9.900006368206268,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
200,9900015,16.7197,-2.39244,-0.677914,92.2223,15,18.431699999608934,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
200,9900015,16.7197,-2.39244,-0.677914,92.2223,15,18.431699999608934,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
201,9900015,19.3126,1.45055,0.087241,43.4525,15,8.684487854163333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
201,9900015,19.3126,1.45055,0.087241,43.4525,15,8.684487854163333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
202,-9900015,35.5336,2.26948,-1.62992,173.718,15,34.719564145895994,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
203,9900015,61.0187,3.5937,-0.968149,1110.42,15,221.93036080824,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
203,9900015,60.9428,3.59375,-0.968145,1109.09,15,221.6645448288133,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
204,-9900015,36.4793,3.00518,-2.66972,369.158,15,73.78052280690935,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
205,9900015,23.6646,-4.52149,-0.221715,1088.38,15,217.52541029202666,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
206,9900015,32.6502,-3.03182,-2.10417,339.286,15,67.81025593665866,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
206,9900015,32.6502,-3.03182,-2.10417,339.286,15,67.81025593665866,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
206,9900015,32.6502,-3.03182,-2.10417,339.286,15,67.81025593665866,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
207,-9900015,10.8718,-1.38719,-2.85376,23.121,15,4.621000947612,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
208,9900015,19.5684,2.91009,-2.87462,180.156,15,36.006273375632,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
208,9900015,19.5684,2.91009,-2.87462,180.156,15,36.006273375632,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
209,-9900015,34.3966,3.01424,2.60275,351.237,15,70.198802380364,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
210,-9900015,16.6638,2.49782,1.2894,101.968,15,20.379491571562667,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
210,-9900015,16.6635,2.49783,1.2894,101.966,15,20.37909184828533,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
211,-9900015,25.7891,1.25508,-2.04773,48.9113,15,9.775492567316935,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
212,9900015,54.5385,2.5685,1.70075,357.85,15,71.52048739686667,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
213,-9900015,37.1709,2.88328,-0.100662,333.213,15,66.596496205036,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
214,-9900015,33.6722,3.23471,1.01914,428.283,15,85.59734219307602,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
215,-9900015,23.6468,2.99581,-1.01983,237.077,15,47.38259771017733,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
215,-9900015,23.6468,2.99581,-1.01983,237.077,15,47.38259771017733,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
215,-9900015,23.6468,2.99581,-1.01983,237.077,15,47.38259771017733,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
216,9900015,35.6857,-0.181761,1.36158,36.2768,15,7.250340693582933,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
217,9900015,30.8453,-3.33976,0.679251,435.657,15,87.071121916604,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
217,9900015,30.8453,-3.33976,0.679251,435.657,15,87.071121916604,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
217,9900015,30.8447,-3.33976,0.67925,435.649,15,87.06952302349467,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
218,-9900015,20.0009,0.154018,-2.76872,20.2385,15,4.044899774155333,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
219,9900015,38.3145,-3.43107,0.396041,592.766,15,118.47118410588534,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
220,-9900015,38.2464,-1.17719,-0.657022,67.9523,15,13.581058029168933,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
221,-9900015,38.3185,1.01223,-1.33177,59.6839,15,11.928522056017469,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
222,-9900015,14.2782,-3.29454,-0.810368,192.77,15,38.527328085773334,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
223,-9900015,30.6705,0.963526,-0.83248,46.0436,15,9.202349346112532,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
223,-9900015,30.6705,0.963526,-0.83248,46.0435,15,9.202329359948667,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
223,-9900015,30.6705,0.963526,-0.83248,46.0435,15,9.202329359948667,False,,,,0.0,3,0,0.0,0.0,0.0,0.0,0.0
224,9900015,34.2885,-3.08793,-2.96207,376.785,15,75.30486752502001,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
225,9900015,37.425,-2.69509,-1.81013,278.336,15,55.628689059925335,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
226,-9900015,32.6837,-0.07417,-1.2755,32.7737,15,6.550205387169733,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
226,-9900015,32.6837,-0.07417,-1.2755,32.7737,15,6.550205387169733,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
227,-9900015,22.2924,1.97263,-0.0626612,81.6867,15,16.326037719272403,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
228,9900015,8.45095,1.75001,0.598067,25.0505,15,5.006633979419333,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
229,-9900015,9.67241,-1.95494,2.80695,34.8452,15,6.964218771667733,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
229,-9900015,9.67241,-1.95494,2.80695,34.8452,15,6.964218771667733,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
230,-9900015,34.1245,0.454278,2.07319,37.7066,15,7.536102864548535,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
231,9900015,19.1926,-1.57709,0.980075,48.4366,15,9.680618247441867,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
231,9900015,19.1926,-1.57709,0.980075,48.4366,15,9.680618247441867,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
232,-9900015,45.9675,2.04802,-2.64775,181.146,15,36.204136397911995,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
233,9900015,39.1166,-0.370568,1.70616,41.8333,15,8.360871888834266,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
233,9900015,39.1154,-0.37057,1.70615,41.832,15,8.360612068704,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
234,9900015,37.7905,0.325881,-0.781754,39.815,15,7.957491143513332,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
235,-9900015,36.3484,2.2867,-1.315,180.725,15,36.11999464803333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
235,-9900015,36.3483,2.2867,-1.315,180.725,15,36.11999464803333,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
236,9900015,42.1501,2.75726,-2.03367,333.407,15,66.63526936293734,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
237,-9900015,16.0777,0.732815,-1.60573,20.5913,15,4.115410960276934,False,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0
238,9900015,39.8165,0.453364,-2.37823,43.979,15,8.789715006921334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
238,9900015,39.8165,0.453364,-2.37823,43.979,15,8.789715006921334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
239,9900015,8.49833,3.42475,0.0649786,130.652,15,26.112322815077334,False,,,,0.0,2,0,0.0,0.0,0.0,0.0,0.0
