mass_GeV,has_sensitivity,any_variation_sensitive,any_halo_variation_sensitive,decay_structure_variation,decay_structure_has_sensitivity,decay_structure_restores_sensitivity,decay_structure_removes_sensitivity,decay_structure_included_in_halo,numerical_control_n_sensitive,numerical_control_any_sensitive,numerical_control_all_sensitive,numerical_control_sensitive_variations,numerical_control_included_in_halo,halo_restores_sensitivity,halo_restores_sensitivity_variations,halo_removes_sensitivity,halo_removes_sensitivity_variations,envelope_definition,invf_min_central,invf_min_open,invf_min_decay_structure,invf_min_decay_structure_open,invf_min_central_repeat_1,invf_min_central_repeat_2,invf_min_scale_lo,invf_min_scale_hi,invf_min_scale_lo_variation,invf_min_scale_hi_variation,invf_min_mb_lo,invf_min_mb_hi,invf_min_mb_lo_variation,invf_min_mb_hi_variation,invf_min_gg_lo,invf_min_gg_hi,invf_min_gg_lo_variation,invf_min_gg_hi_variation,invf_min_cbs_lo,invf_min_cbs_hi,invf_min_cbs_lo_variation,invf_min_cbs_hi_variation,invf_min_pdf_p16,invf_min_pdf_p84,invf_min_pdf_log10_std,invf_min_pdf_n_finite,invf_min_envelope_lo,invf_min_envelope_hi,invf_min_any_variation_open,invf_min_variation_missing,invf_min_envelope_lo_source,invf_min_envelope_hi_source,invf_min_physical_envelope_max_abs_dex,invf_min_repeat_median_abs_dex,invf_min_repeat_max_abs_dex,invf_min_repeat_median_abs_fraction,invf_min_repeat_max_abs_fraction,invf_min_repeat_missing,invf_min_repeat_not_subdominant,invf_max_central,invf_max_open,invf_max_decay_structure,invf_max_decay_structure_open,invf_max_central_repeat_1,invf_max_central_repeat_2,invf_max_scale_lo,invf_max_scale_hi,invf_max_scale_lo_variation,invf_max_scale_hi_variation,invf_max_mb_lo,invf_max_mb_hi,invf_max_mb_lo_variation,invf_max_mb_hi_variation,invf_max_gg_lo,invf_max_gg_hi,invf_max_gg_lo_variation,invf_max_gg_hi_variation,invf_max_cbs_lo,invf_max_cbs_hi,invf_max_cbs_lo_variation,invf_max_cbs_hi_variation,invf_max_pdf_p16,invf_max_pdf_p84,invf_max_pdf_log10_std,invf_max_pdf_n_finite,invf_max_envelope_lo,invf_max_envelope_hi,invf_max_any_variation_open,invf_max_variation_missing,invf_max_envelope_lo_source,invf_max_envelope_hi_source,invf_max_physical_envelope_max_abs_dex,invf_max_repeat_median_abs_dex,invf_max_repeat_max_abs_dex,invf_max_repeat_median_abs_fraction,invf_max_repeat_max_abs_fraction,invf_max_repeat_missing,invf_max_repeat_not_subdominant,decay_structure_topology_differs,halo_topology_differs,halo_topology_difference_variations,numerical_control_topology_differs,numerical_control_topology_difference_variations,campaign_has_sensitivity,invf_min_campaign_central,invf_max_campaign_central,canonical_rebase_topology_compatible,envelope_reference
0.22,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,8.94552128238733e-08,False,8.902677876512638e-08,False,8.898039346833459e-08,8.807536907797369e-08,8.24095184643231e-08,1.0361768398706037e-07,scale_muR0p5_muF1,scale_muR1_muF0p5,8.68739768774704e-08,9.370059574198235e-08,mass_4p5,mass_5,8.945521282387331e-08,8.945521282387331e-08,central,central,8.172213610499239e-08,1.000538699093548e-07,cbs_up,cbs_down,8.887284113175149e-08,9.114761699914054e-08,0.005006487571014221,100.0,8.172213610499239e-08,1.0361768398706037e-07,False,False,cbs,scale,0.06382822763254836,0.0022199250465257947,0.0037201010687706315,0.005093962166565602,0.008529266906073807,False,False,1.8271013485554753e-05,False,1.6847067949432725e-05,False,1.820059725345525e-05,1.7584094199290976e-05,1.822180555991473e-05,1.9985590835331563e-05,scale_muR1_muF2,scale_muR0p5_muF1,1.8271013485554773e-05,1.9521220205876142e-05,central,mass_5,1.8271013485554773e-05,1.8271013485554773e-05,central,central,1.780696623762342e-05,1.856665887431057e-05,cbs_down,cbs_up,1.8751606157170756e-05,2.0346725657238774e-05,0.017512509098153196,100.0,1.780696623762342e-05,2.0346725657238774e-05,False,False,cbs,pdf,0.04673189120842647,0.024028913255981443,0.03151173224573878,0.05704475084926319,0.07525564748777192,False,False,False,False,,False,,True,8.883304987039888e-08,1.6926762761933988e-05,True,canonical_high_statistics_central
0.24,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,7.645140930364122e-08,False,7.716586827244826e-08,False,7.6340594205257e-08,7.636437055200031e-08,6.916770031161332e-08,8.760269594802574e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,7.312534525657169e-08,7.681833232129026e-08,mass_4p5,mass_5,7.645140930364121e-08,7.645140930364121e-08,central,central,6.97887960111359e-08,8.559100875053421e-08,cbs_up,cbs_down,7.446857283463081e-08,7.61388711554391e-08,0.004982841405596093,100.0,6.916770031161332e-08,8.760269594802574e-08,False,False,scale,scale,0.059131976065466496,0.0040075555416545505,0.004075175715565038,0.009185280725578115,0.009339551769491417,False,False,1.42378570501697e-05,False,1.2482073495276012e-05,False,1.3278747802283401e-05,1.4293082660710815e-05,1.4181500958009159e-05,1.7070281759116338e-05,scale_muR2_muF2,scale_muR0p5_muF0p5,1.423785705016969e-05,1.5793944590178963e-05,central,mass_5,1.423785705016969e-05,1.423785705016969e-05,central,central,1.3967768604576654e-05,1.4546041766327756e-05,cbs_down,cbs_up,1.5031532905114395e-05,1.6782464558616317e-05,0.02384421565679525,100.0,1.3967768604576654e-05,1.7070281759116338e-05,False,False,cbs,scale,0.07879606131041861,0.040810097211857244,0.0567944885876015,0.09926952181800608,0.139710340438423,False,False,False,False,,False,,True,7.706030289350357e-08,1.2540978311394952e-05,True,canonical_high_statistics_central
0.26,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,7.034252941098886e-08,False,6.954935670602826e-08,False,7.069971482493363e-08,7.047162571309922e-08,6.409937356378493e-08,8.108087655589055e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,6.872765981728293e-08,7.413187688366864e-08,mass_4p5,mass_5,7.034252941098886e-08,7.034252941098886e-08,central,central,6.425026248250944e-08,7.869420882673121e-08,cbs_up,cbs_down,6.954100662469447e-08,7.116006156116456e-08,0.004903164998216553,100.0,6.409937356378493e-08,8.108087655589055e-08,False,False,scale,scale,0.061700454318738274,0.007044202177379777,0.0077458880044734,0.016353457762230517,0.017995569798620492,False,False,1.1914049463985098e-05,False,1.1996608628354985e-05,False,1.1292817883866068e-05,1.1833539837731461e-05,1.089604172553595e-05,1.3807895571196824e-05,scale_muR1_muF2,scale_muR0p5_muF0p5,1.1302954602593417e-05,1.1914049463985105e-05,mass_4p5,central,1.1914049463985105e-05,1.1914049463985105e-05,central,central,1.1576079425664261e-05,1.219552503942466e-05,cbs_down,cbs_up,1.0961475010342055e-05,1.242704623176615e-05,0.027916539721199427,100.0,1.089604172553595e-05,1.3807895571196824e-05,False,False,scale,scale,0.06406809498167476,0.018522911596567493,0.028679087958859206,0.041491803512830494,0.06390287364500746,False,False,False,False,,False,,True,6.944992387237935e-08,1.2063724549436903e-05,True,canonical_high_statistics_central
0.28,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,6.446050670536e-08,False,6.543338211644704e-08,False,6.486087705153168e-08,6.45053204194881e-08,5.8984732502039474e-08,7.374233369505024e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,6.16784771658335e-08,6.613804989315511e-08,mass_4p5,mass_5,6.446050670535998e-08,6.446050670535998e-08,central,central,5.886671714496466e-08,7.211887676622742e-08,cbs_up,cbs_down,6.349360000763934e-08,6.496820809849941e-08,0.00488331925090749,100.0,5.886671714496466e-08,7.374233369505024e-08,False,False,cbs,scale,0.05842316238392353,0.004571460073722111,0.005765100105974419,0.010467232040487662,0.013186914192011567,False,False,1.060615105782131e-05,False,1.0681986513230179e-05,False,1.1038110255829479e-05,1.1587319960599957e-05,9.428551199888624e-06,1.1601726527355554e-05,scale_muR0p5_muF0p5,scale_muR0p5_muF1,1.0408462444122515e-05,1.0620549384162754e-05,mass_5,mass_4p5,1.0606151057821303e-05,1.0606151057821303e-05,central,central,1.0237690997214585e-05,1.081183042551376e-05,cbs_down,cbs_up,9.448022255228198e-06,1.072140788405508e-05,0.02672009422765539,100.0,9.428551199888624e-06,1.1601726527355554e-05,False,False,scale,scale,0.05111284449166309,0.01725517354819983,0.027799309315462928,0.04083804979848904,0.06610335315738891,False,False,False,False,,False,,True,6.536731357455812e-08,1.086885237372415e-05,True,canonical_high_statistics_central
0.3,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,6.15056359477432e-08,False,6.157546291008991e-08,False,6.192768080214031e-08,6.105475187948354e-08,5.6848234476768173e-08,7.14680320619695e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,5.95265163259494e-08,6.375497114049218e-08,mass_4p5,mass_5,6.150563594774319e-08,6.150563594774319e-08,central,central,5.616279281588759e-08,6.881459153668903e-08,cbs_up,cbs_down,6.09918437089991e-08,6.251363231763949e-08,0.005145309015133831,100.0,5.616279281588759e-08,7.14680320619695e-08,False,False,cbs,scale,0.06519691024976648,0.003082672645329687,0.003144303456181774,0.007097168452264435,0.007213880412826668,False,False,9.418905775805245e-06,False,8.714738080275275e-06,False,8.839776607150586e-06,8.366236943186221e-06,8.584829890464284e-06,9.943568639034998e-06,scale_muR2_muF2,scale_muR1_muF0p5,9.418905775805246e-06,9.810981308584924e-06,central,mass_5,9.418905775805246e-06,9.418905775805246e-06,central,central,9.125803812648104e-06,9.66236180019518e-06,cbs_down,cbs_up,9.190225856549378e-06,1.0509562798756858e-05,0.03008679293554601,100.0,8.584829890464284e-06,1.0509562798756858e-05,False,False,scale,pdf,0.04758419725760543,0.013477725167821308,0.0254332900316383,0.030189650031366533,0.05688053144266936,False,False,False,False,,False,,True,6.149839393893997e-08,8.870813531167872e-06,True,canonical_high_statistics_central
0.32,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,5.9018217876018e-08,False,5.951736695882637e-08,False,5.876905709344703e-08,5.886213823718666e-08,5.3576986712445566e-08,6.708409578587937e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,5.653933339863925e-08,6.044918040513929e-08,mass_4p5,mass_5,5.901821787601799e-08,5.901821787601799e-08,central,central,5.37763207636861e-08,6.603948834730312e-08,cbs_up,cbs_down,5.7852095280734e-08,5.9086385550329824e-08,0.004898115608424835,100.0,5.3576986712445566e-08,6.708409578587937e-08,False,False,scale,scale,0.05563347904258187,0.005125238915603347,0.005468894656064371,0.011731627119938304,0.012513640345348631,False,False,8.562694532495679e-06,False,8.049188992163614e-06,False,7.215833672734005e-06,8.319067661610469e-06,7.958151527366644e-06,9.31288305390301e-06,scale_muR2_muF1,scale_muR0p5_muF0p5,8.23464062094416e-06,8.620897485538358e-06,mass_4p5,mass_5,8.56269453249567e-06,8.56269453249567e-06,central,central,8.313674777189699e-06,8.720087488586492e-06,cbs_down,cbs_up,8.33836149107676e-06,9.488598747691328e-06,0.027529661788869668,100.0,7.958151527366644e-06,9.488598747691328e-06,False,False,scale,pdf,0.044591630471413346,0.030894071271671653,0.048438829117424476,0.06837735456776234,0.10553949113730454,False,True,False,False,,False,,True,5.9513791273025826e-08,8.067246794281537e-06,True,canonical_high_statistics_central
0.34,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,5.651269632129459e-08,False,5.650733093071735e-08,False,5.6797144592872514e-08,5.662084655026849e-08,5.2269766633623746e-08,6.568381531100547e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,5.401228895961628e-08,5.8056845826621526e-08,mass_4p5,mass_5,5.651269632129459e-08,5.651269632129459e-08,central,central,5.155053852922141e-08,6.329925600672404e-08,cbs_up,cbs_down,5.60538187654707e-08,5.731122281637621e-08,0.004766740801415796,100.0,5.155053852922141e-08,6.568381531100547e-08,False,False,cbs,scale,0.06531234252464913,0.0020526643252609666,0.0027277364894482403,0.004738835305695965,0.006300611248007293,False,False,7.880755696139558e-06,False,7.376478627495165e-06,False,7.798072656509258e-06,6.992571330752297e-06,7.339928075109019e-06,9.390924544124684e-06,scale_muR2_muF2,scale_muR0p5_muF1,7.3176969984383384e-06,8.374561677787509e-06,mass_4p5,mass_5,7.880755696139565e-06,7.880755696139565e-06,central,central,7.647776337140302e-06,8.056704267155804e-06,cbs_down,cbs_up,7.745139824714583e-06,8.651156987774076e-06,0.027085832675100646,100.0,7.3176969984383384e-06,9.390924544124684e-06,False,False,mb,scale,0.07614048645277016,0.023675186010665872,0.024562112775812217,0.0544298635812423,0.05498677297077237,False,False,False,False,,False,,True,5.64415284637789e-08,7.399442812810515e-06,True,canonical_high_statistics_central
0.36,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,5.475723282516874e-08,False,5.4557822472806625e-08,False,5.4060499362029875e-08,5.455847369559805e-08,4.979774030220146e-08,6.334979755610766e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,5.293038199490793e-08,5.653000028084384e-08,mass_4p5,mass_5,5.475723282516874e-08,5.475723282516874e-08,central,central,4.998292191136883e-08,6.126920809854763e-08,cbs_up,cbs_down,5.415617177384954e-08,5.548127763785961e-08,0.0051986577413832835,100.0,4.979774030220146e-08,6.334979755610766e-08,False,False,scale,scale,0.06330373856622629,0.001991079590777378,0.0034259332537001086,0.004569524152430282,0.007857470254862164,False,False,7.286983857764135e-06,False,7.140364273507594e-06,False,7.197001905443409e-06,6.9372311832475195e-06,6.352071407486917e-06,7.834676333176165e-06,scale_muR0p5_muF1,scale_muR1_muF0p5,6.948971327614072e-06,7.305442089622127e-06,mass_4p5,mass_5,7.286983857764142e-06,7.286983857764142e-06,central,central,7.08886725911291e-06,7.4797810967929516e-06,cbs_down,cbs_up,6.722284090761878e-06,7.671563430578958e-06,0.02858193250891935,100.0,6.352071407486917e-06,7.834676333176165e-06,False,False,scale,scale,0.05963243585608158,0.007982725031882687,0.015728332131709877,0.018057004503432394,0.03556787571472042,False,False,False,False,,False,,True,5.4488642247719164e-08,7.193073528516637e-06,True,canonical_high_statistics_central
0.38,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,5.2624148077730575e-08,False,5.334416388885158e-08,False,5.2465851990744154e-08,5.2614895283178475e-08,4.723938882416886e-08,6.062517414325573e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,5.0271273923799145e-08,5.4013707134618184e-08,mass_4p5,mass_5,5.262414807773058e-08,5.262414807773058e-08,central,central,4.8020975377695306e-08,5.894169965443665e-08,cbs_up,cbs_down,5.168861956560286e-08,5.2691660265327886e-08,0.004393154993395252,100.0,4.723938882416886e-08,6.062517414325573e-08,False,False,scale,scale,0.061467920914373586,0.005823585479006521,0.00643957579649701,0.013318804454154953,0.014718282643854552,False,False,6.747584135766786e-06,False,6.247436626728693e-06,False,6.188819365044861e-06,6.087833861164604e-06,6.487927911251696e-06,7.39183449762765e-06,scale_muR2_muF2,scale_muR0p5_muF1,6.4429514038148e-06,7.349877319285625e-06,mass_4p5,mass_5,6.747584135766779e-06,6.747584135766779e-06,central,central,6.538228333832668e-06,6.864104515450869e-06,cbs_down,cbs_up,6.554771943709864e-06,7.741795815488104e-06,0.03315254043247686,100.0,6.4429514038148e-06,7.741795815488104e-06,False,False,mb,pdf,0.05969340442806281,0.008573993781377354,0.012146501329690196,0.019515573887947057,0.02758085943387123,False,False,False,False,,False,,True,5.3249594574360243e-08,6.260503940327993e-06,True,canonical_high_statistics_central
0.4,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,5.06653796941882e-08,False,5.112823814870282e-08,False,5.141898691692179e-08,5.13722425915341e-08,4.619027786198223e-08,5.890520537521552e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,4.9250045565165435e-08,5.2570381141088636e-08,mass_4p5,mass_5,5.06653796941882e-08,5.06653796941882e-08,central,central,4.626449768585516e-08,5.6705275657242333e-08,cbs_up,cbs_down,5.013540426791513e-08,5.137825644023978e-08,0.00524062480338707,100.0,4.619027786198223e-08,5.890520537521552e-08,False,False,scale,scale,0.0654423728431679,0.003007283573156272,0.0032047790605886917,0.006948660409062168,0.0074065704472623395,False,False,6.323183381037602e-06,False,6.0863750463111484e-06,False,6.056922584969425e-06,5.9803426423287085e-06,5.43053726880628e-06,6.517655284834174e-06,scale_muR2_muF2,scale_muR0p5_muF1,6.180873401417709e-06,6.4061712152281424e-06,mass_5,mass_4p5,6.323183381037595e-06,6.323183381037595e-06,central,central,6.11770529175464e-06,6.483083645883453e-06,cbs_down,cbs_up,5.958987834997465e-06,6.801668680320337e-06,0.02634174883880226,100.0,5.43053726880628e-06,6.801668680320337e-06,False,False,scale,pdf,0.0660929786075437,0.009001722770910714,0.011764700456666333,0.02049407766682587,0.026725601682630384,False,False,False,False,,False,,True,5.1040948535895594e-08,6.14455969731428e-06,True,canonical_high_statistics_central
0.42,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,4.9677840119895156e-08,False,4.982656844264845e-08,False,4.972986485276718e-08,4.951023918096772e-08,4.511044586111795e-08,5.7208505037922304e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,4.8197503242934445e-08,5.1707261313268255e-08,mass_4p5,mass_5,4.967784011989515e-08,4.967784011989515e-08,central,central,4.529419312392158e-08,5.5660824675506474e-08,cbs_up,cbs_down,4.9049527120059764e-08,5.0047286602668134e-08,0.004771320949229805,100.0,4.511044586111795e-08,5.7208505037922304e-08,False,False,scale,scale,0.06129789357343807,0.001422876175971588,0.0023840034741908767,0.003268491432336207,0.005474331796010645,False,False,5.936755450400865e-06,False,5.5598659095607475e-06,False,6.316478100060062e-06,5.848762600085613e-06,5.9367554504008715e-06,7.198373177780686e-06,central,scale_muR1_muF2,5.9367554504008715e-06,6.349454456798326e-06,central,mass_5,5.9367554504008715e-06,5.9367554504008715e-06,central,central,5.718226848380332e-06,6.102835064455974e-06,cbs_down,cbs_up,5.860625761201051e-06,6.639430411471744e-06,0.029013701841847775,100.0,5.718226848380332e-06,7.198373177780686e-06,False,False,cbs,scale,0.0836851979443809,0.037248221074043464,0.05395372153491618,0.09035881102702392,0.13227970096428132,False,False,False,False,,False,,True,4.978276656285614e-08,5.578549270715323e-06,True,canonical_high_statistics_central
0.44,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,4.876498625289853e-08,False,4.881020732625886e-08,False,4.8203597977330874e-08,4.832024436584302e-08,4.4176488058005625e-08,5.5440540630164196e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,4.698334979795256e-08,5.020140834249414e-08,mass_4p5,mass_5,4.876498625289853e-08,4.876498625289853e-08,central,central,4.444815996479407e-08,5.4552755334997186e-08,cbs_up,cbs_down,4.784921994657125e-08,4.911505504559186e-08,0.005104816020075604,100.0,4.4176488058005625e-08,5.5440540630164196e-08,False,False,scale,scale,0.05571935053864152,0.0042056748211525274,0.004730507922444893,0.009636462780781785,0.010833289669624602,False,False,5.573476917249812e-06,False,4.913800013819399e-06,False,5.080745037258607e-06,4.997280099386245e-06,5.538744362108243e-06,6.442012468255134e-06,scale_muR2_muF1,scale_muR0p5_muF0p5,5.151060965438408e-06,5.922387019264072e-06,mass_4p5,mass_5,5.573476917249817e-06,5.573476917249817e-06,central,central,5.421140342714613e-06,5.6978792660385545e-06,cbs_down,cbs_up,5.830769056742996e-06,6.605407205948848e-06,0.028595008764919955,100.0,5.151060965438408e-06,6.605407205948848e-06,False,False,mb,pdf,0.07377338906403974,0.007728649324319825,0.011325503891026045,0.01799007504962269,0.026420940940177884,False,False,False,False,,False,,True,4.873152065664561e-08,4.949962373726277e-06,True,canonical_high_statistics_central
0.46,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,4.7857208058125e-08,False,4.6946685374763585e-08,False,4.703713300186927e-08,4.737661902610639e-08,4.420511668009424e-08,5.522375807240241e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,4.694853448694957e-08,4.987594222285681e-08,mass_4p5,mass_5,4.7857208058124986e-08,4.7857208058124986e-08,central,central,4.363893167525261e-08,5.3621402084957904e-08,cbs_up,cbs_down,4.773661043346927e-08,4.877936553670094e-08,0.0048820440987954765,100.0,4.363893167525261e-08,5.522375807240241e-08,False,False,cbs,scale,0.062178599092026055,0.0031792586484375995,0.004740869528882641,0.007353886219727213,0.010976055220395908,False,False,5.261949812754512e-06,False,4.969082442786292e-06,False,5.223945566699255e-06,4.874895571570354e-06,5.222586211042511e-06,5.619012581084782e-06,scale_muR0p5_muF1,scale_muR1_muF0p5,5.111476880896404e-06,5.261949812754513e-06,mass_4p5,central,5.261949812754513e-06,5.261949812754513e-06,central,central,5.109362773813804e-06,5.402391772718528e-06,cbs_down,cbs_up,5.182949481174986e-06,5.969236151886442e-06,0.030275178559031758,100.0,5.109362773813804e-06,5.969236151886442e-06,False,False,cbs,pdf,0.05477205899874349,0.015016663070430702,0.022181626310379343,0.03515933270806115,0.05240190684175494,False,False,False,False,,False,,True,4.686225631306189e-08,4.963831339280115e-06,True,canonical_high_statistics_central
0.48,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,4.5929877801968484e-08,False,4.556600840207773e-08,False,4.637771283168543e-08,4.661213989049609e-08,4.2512311307628014e-08,5.374929177107918e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,4.488484095480082e-08,4.8528300484583684e-08,mass_4p5,mass_5,4.592987780196848e-08,4.592987780196848e-08,central,central,4.189584129092622e-08,5.1398092526947016e-08,cbs_up,cbs_down,4.605480410195556e-08,4.7172500974366213e-08,0.005046022804740958,100.0,4.189584129092622e-08,5.374929177107918e-08,False,False,cbs,scale,0.06827745616902892,0.009382032536723539,0.010476889564166036,0.021841208050107586,0.024417265780733333,False,False,5.030549787357292e-06,False,4.6428187373262995e-06,False,4.481373899330934e-06,4.9012390920684205e-06,4.831144003496793e-06,5.544848672413456e-06,scale_muR2_muF2,scale_muR0p5_muF0p5,4.883190180778171e-06,5.148068812726128e-06,mass_4p5,mass_5,5.030549787357296e-06,5.030549787357296e-06,central,central,4.883491396397574e-06,5.168270782906937e-06,cbs_down,cbs_up,4.9327599279555874e-06,5.645785957947244e-06,0.03025560494676194,100.0,4.831144003496793e-06,5.645785957947244e-06,False,False,scale,pdf,0.050108957655993436,0.019447354189825905,0.021092212977501745,0.04496413066658761,0.04976529979583422,False,False,False,False,,False,,True,4.550112678447669e-08,4.668890363418988e-06,True,canonical_high_statistics_central
0.5,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,4.498145595293072e-08,False,4.5000572910248786e-08,False,4.527431205259873e-08,4.512424409253333e-08,4.0903949519329274e-08,5.287211875187114e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,4.37203143587528e-08,4.762803526451614e-08,mass_4p5,mass_5,4.4981455952930714e-08,4.4981455952930714e-08,central,central,4.1082487722359044e-08,5.0362702552269985e-08,cbs_up,cbs_down,4.467501270748377e-08,4.5626232132398915e-08,0.004621460710702588,100.0,4.0903949519329274e-08,5.287211875187114e-08,False,False,scale,scale,0.07019320579293709,0.002088862599002539,0.002809822641014925,0.004822754022573372,0.006490830453809382,False,False,4.7939292484576445e-06,False,4.523554362646511e-06,False,4.684590164299325e-06,5.232668587758547e-06,4.286699030589285e-06,4.829170299027822e-06,scale_muR2_muF1,scale_muR2_muF2,4.78243821781261e-06,5.015274116570614e-06,mass_4p5,mass_5,4.7939292484576445e-06,4.7939292484576445e-06,central,central,4.628777628117498e-06,4.892689896338794e-06,cbs_down,cbs_up,4.546585433543344e-06,5.239301712067249e-06,0.029071313989819436,100.0,4.286699030589285e-06,5.239301712067249e-06,False,False,scale,pdf,0.04856862744135171,0.03495972909817224,0.05898554271843004,0.08548533925968593,0.1454748089612905,False,True,False,False,,False,,True,4.4982339314691346e-08,4.568121923609563e-06,True,canonical_high_statistics_central
0.52,True,True,True,decay_2310_structural,True,False,False,False,2,True,True,central_repeat_1;central_repeat_2,False,False,,False,,single_source_variation_envelope,4.4273731812473136e-08,False,4.40718791858377e-08,False,4.3967653474611426e-08,4.490660152664151e-08,4.052804473802122e-08,5.1681070923792814e-08,scale_muR0p5_muF1,scale_muR1_muF0p5,4.281438572718744e-08,4.59239423003232e-08,mass_4p5,mass_5,4.4273731812473136e-08,4.4273731812473136e-08,central,central,4.0360691772621954e-08,4.961606385956152e-08,cbs_up,cbs_down,4.399598373573022e-08,4.4930950896390984e-08,0.004936395058605089,100.0,4.0360691772621954e-08,5.1681070923792814e-08,False,False,cbs,scale,0.06718537443141237,0.004588450621108908,0.008711234306503002,0.01066627101886053,0.02026087893473183,False,False,4.545686804577782e-06,False,4.1828826338301255e-06,False,4.323039667425592e-06,3.95865286125317e-06,4.371439790919043e-06,5.799701751445947e-06,scale_muR2_muF2,scale_muR1_muF2,4.3178232165307796e-06,4.545686804577782e-06,mass_4p5,central,4.545686804577782e-06,4.545686804577782e-06,central,central,4.414059377036795e-06,4.67139688579736e-06,cbs_down,cbs_up,4.46311498978782e-06,5.08352919880264e-06,0.02679968898288874,100.0,4.3178232165307796e-06,5.799701751445947e-06,False,False,mb,scale,0.10580615086734912,0.01912090045575665,0.02602527376902586,0.04334709069243914,0.058165215150911775,False,False,False,False,,False,,True,4.4014822535907783e-08,4.203128749260914e-06,True,canonical_high_statistics_central
0.54,False,False,False,decay_2310_structural,False,False,False,False,0,False,False,,False,False,,False,,single_source_variation_envelope,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,False,False,False,False,,False,,False,,,True,canonical_high_statistics_central
